
TimePST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:15 AM,28.4,24.8,86,30.05,10.0,NNW,6.9,-,N/A,,Unknown,330,2016-12-08 08:15:00<br />
12:35 AM,28.4,24.8,86,30.04,10.0,NW,4.6,-,N/A,,Unknown,310,2016-12-08 08:35:00<br />
12:55 AM,28.4,24.8,86,30.04,10.0,WNW,6.9,-,N/A,,Unknown,300,2016-12-08 08:55:00<br />
1:15 AM,28.4,24.8,86,30.04,10.0,NW,5.8,-,N/A,,Unknown,310,2016-12-08 09:15:00<br />
1:35 AM,28.4,24.8,86,30.03,10.0,NW,5.8,-,N/A,,Unknown,310,2016-12-08 09:35:00<br />
1:55 AM,28.4,24.8,86,30.02,10.0,WNW,5.8,-,N/A,,Unknown,300,2016-12-08 09:55:00<br />
2:15 AM,30.2,24.8,80,30.01,10.0,WNW,4.6,-,N/A,,Unknown,300,2016-12-08 10:15:00<br />
2:35 AM,28.4,24.8,86,30.00,10.0,Calm,Calm,-,N/A,,Unknown,0,2016-12-08 10:35:00<br />
2:55 AM,28.4,24.8,86,30.00,10.0,Calm,Calm,-,N/A,,Unknown,0,2016-12-08 10:55:00<br />
3:15 AM,28.4,24.8,86,29.99,10.0,West,3.5,-,N/A,,Unknown,280,2016-12-08 11:15:00<br />
3:35 AM,30.2,24.8,80,29.98,10.0,NW,4.6,-,N/A,,Unknown,320,2016-12-08 11:35:00<br />
3:55 AM,30.2,26.6,86,29.97,10.0,WNW,3.5,-,N/A,,Unknown,290,2016-12-08 11:55:00<br />
4:15 AM,30.2,26.6,86,29.97,10.0,NW,4.6,-,N/A,,Unknown,310,2016-12-08 12:15:00<br />
4:35 AM,30.2,24.8,80,29.96,10.0,NW,5.8,-,N/A,,Unknown,320,2016-12-08 12:35:00<br />
4:55 AM,30.2,26.6,86,29.96,10.0,WNW,4.6,-,N/A,,Unknown,300,2016-12-08 12:55:00<br />
5:15 AM,30.2,26.6,86,29.95,10.0,WNW,5.8,-,N/A,,Unknown,300,2016-12-08 13:15:00<br />
5:35 AM,30.2,26.6,86,29.94,10.0,NW,3.5,-,N/A,,Unknown,320,2016-12-08 13:35:00<br />
5:55 AM,30.2,26.6,86,29.94,10.0,Calm,Calm,-,N/A,,Unknown,0,2016-12-08 13:55:00<br />
6:15 AM,30.2,24.8,80,29.94,10.0,NW,3.5,-,N/A,,Unknown,320,2016-12-08 14:15:00<br />
6:35 AM,30.2,26.6,86,29.94,10.0,WNW,3.5,-,N/A,,Unknown,290,2016-12-08 14:35:00<br />
6:55 AM,30.2,26.6,86,29.94,10.0,NW,4.6,-,N/A,,Unknown,320,2016-12-08 14:55:00<br />
7:15 AM,30.2,26.6,86,29.94,7.0,NW,4.6,-,N/A,,Unknown,320,2016-12-08 15:15:00<br />
7:35 AM,30.2,26.6,86,29.93,9.0,NW,3.5,-,N/A,,Unknown,320,2016-12-08 15:35:00<br />
7:55 AM,30.2,26.6,86,29.93,5.0,North,5.8,-,N/A,,Unknown,360,2016-12-08 15:55:00<br />
8:15 AM,32.0,28.4,87,29.92,3.0,North,5.8,-,N/A,,Unknown,360,2016-12-08 16:15:00<br />
8:35 AM,32.0,28.4,87,29.92,2.5,North,5.8,-,0.01,,Unknown,10,2016-12-08 16:35:00<br />
8:55 AM,32.0,28.4,87,29.91,1.5,North,3.5,-,0.02,,Unknown,360,2016-12-08 16:55:00<br />
9:15 AM,32.0,28.4,87,29.91,2.0,North,3.5,-,0.06,,Unknown,350,2016-12-08 17:15:00<br />
9:35 AM,33.8,30.2,87,29.90,2.5,North,3.5,-,0.09,,Unknown,360,2016-12-08 17:35:00<br />
9:55 AM,33.8,30.2,87,29.90,2.0,North,4.6,-,0.13,,Unknown,360,2016-12-08 17:55:00<br />
10:15 AM,33.8,30.2,87,29.90,1.2,Calm,Calm,-,0.04,,Unknown,0,2016-12-08 18:15:00<br />
10:35 AM,33.8,30.2,87,29.88,1.5,NNE,5.8,-,0.08,,Unknown,30,2016-12-08 18:35:00<br />
10:55 AM,33.8,30.2,87,29.88,3.0,NNE,6.9,-,0.10,,Unknown,20,2016-12-08 18:55:00<br />
11:15 AM,33.8,30.2,87,29.88,2.0,NNE,5.8,-,0.01,,Unknown,20,2016-12-08 19:15:00<br />
11:35 AM,33.8,30.2,87,29.87,1.8,North,8.1,-,0.06,,Unknown,10,2016-12-08 19:35:00<br />
11:55 AM,33.8,30.2,87,29.87,2.5,NNE,4.6,-,0.10,,Unknown,20,2016-12-08 19:55:00<br />
12:15 PM,33.8,30.2,87,29.86,2.5,NNE,4.6,-,0.02,,Unknown,20,2016-12-08 20:15:00<br />
12:35 PM,33.8,30.2,87,29.85,1.8,North,4.6,-,0.03,,Unknown,10,2016-12-08 20:35:00<br />
